PID=27867
27867 27164   501 haewonkim Mon09PM  19:16.99 S+   /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python -m uvicorn app.main:app --host 127.0.0.1 --port 8000

COMMAND   PID      USER   FD   TYPE DEVICE SIZE/OFF                NODE NAME
Python  27867 haewonkim  txt    REG   1,14    99264            72868619 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/indexing.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  3677928            72863436 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/_core/_multiarray_umath.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   651264            72864159 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/_generator.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   178656            72868642 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/conversion.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   212848            72868639 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/nattype.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   156496            72868669 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/timezones.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   120768            72868658 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/vectorized.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    73680            88126028 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/mmap.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   213840            72868641 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/fields.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  1006512            72868604 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/interval.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   469008            72868667 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/timestamps.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   195904            72868644 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/tzconversion.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    93800            72868617 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/json.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  1838304            72868618 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/hashtable.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   443216            72868650 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/timedeltas.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   215584            72868661 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/strptime.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   250512            72868659 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/parsing.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   977904            72868646 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/offsets.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   119856            72868596 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/writers.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   135256            72868620 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/ops.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   365616            72868670 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/period.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    88800            88126024 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/cmath.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   140336            72868631 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/arrays.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   118192            72868581 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/testing.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  1615496            72868605 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/algos.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   155736            72868613 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslib.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   283744            72868587 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/internals.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   557000            72868583 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/lib.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   198448            72868635 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/window/indexers.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   174768            72868579 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/reshape.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   377344            72868637 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/window/aggregations.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   719808            72868629 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/sparse.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   686504            72868609 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/index.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   952744            72868582 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/join.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   383680            72868621 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/parsers.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  2026368            72868622 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/groupby.cpython-313-darwin.so
